price,quantity,seller_inflow,buyer_outflow
1.0,64.31,64.31,65.72
1.0,64.31,64.31,64.31
1.0,64.31,64.31,64.31
1.0,64.31,64.31,64.31
1.0,64.31,64.31,64.31
1.0,64.31,64.31,64.31
1.0,64.31,64.31,64.31
1.0,64.31,64.31,64.31
1.0,64.31,64.31,64.31
1.0,64.31,64.31,64.31
1.0,64.31,64.31,64.31
1.0,63.4,63.4,64.31
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,63.4,63.4,63.4
1.0,62.5,62.5,63.4
1.0,62.5,62.5,62.5
1.0,62.5,62.5,62.5
1.0,62.5,62.5,62.5
1.0,62.5,62.5,62.5
1.0,62.5,62.5,62.5
1.0,61.6,61.6,62.5
1.0,61.6,61.6,61.6
1.0,61.6,61.6,61.6
1.0,61.6,61.6,61.6
1.0,61.6,61.6,61.6
1.0,61.6,61.6,61.6
1.0,61.6,61.6,61.6
1.0,61.6,61.6,61.6
1.0,61.6,61.6,61.6
1.0,60.7,60.7,61.6
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
1.0,60.7,60.7,60.7
