price,quantity,seller_inflow,buyer_outflow
1.0,7.34,7.34,7.38
1.0,7.3,7.3,7.34
1.0,7.26,7.26,7.3
1.0,7.22,7.22,7.26
1.0,7.18,7.18,7.22
1.0,7.14,7.14,7.18
1.0,7.1,7.1,7.14
1.0,7.06,7.06,7.1
1.0,7.02,7.02,7.06
1.0,6.98,6.98,7.02
1.0,6.94,6.94,6.98
1.0,6.9,6.9,6.94
1.0,6.87,6.87,6.9
1.0,6.83,6.83,6.87
1.0,6.79,6.79,6.83
1.0,6.75,6.75,6.79
1.0,6.71,6.71,6.75
1.0,6.67,6.67,6.71
1.0,6.63,6.63,6.67
1.0,6.6,6.6,6.63
1.0,6.56,6.56,6.6
1.0,6.52,6.52,6.56
1.0,6.48,6.48,6.52
1.0,6.44,6.44,6.48
1.0,6.41,6.41,6.44
1.0,6.37,6.37,6.41
1.0,6.33,6.33,6.37
1.0,6.29,6.29,6.33
1.0,6.25,6.25,6.29
1.0,6.22,6.22,6.25
1.0,6.18,6.18,6.22
1.0,6.14,6.14,6.18
1.0,6.11,6.11,6.14
1.0,6.07,6.07,6.11
1.0,6.03,6.03,6.07
1.0,6.0,6.0,6.03
1.0,5.96,5.96,6.0
1.0,5.92,5.92,5.96
1.0,5.89,5.89,5.92
1.0,5.85,5.85,5.89
1.0,5.82,5.82,5.85
1.0,5.78,5.78,5.82
1.0,5.74,5.74,5.78
1.0,5.71,5.71,5.74
1.0,5.67,5.67,5.71
1.0,5.64,5.64,5.67
1.0,5.6,5.6,5.64
1.0,5.57,5.57,5.6
1.0,5.53,5.53,5.57
1.0,5.5,5.5,5.53
1.0,5.47,5.47,5.5
1.0,5.54,5.54,5.47
1.0,5.52,5.52,5.54
1.0,5.51,5.51,5.52
1.0,5.49,5.49,5.51
1.0,5.47,5.47,5.49
1.0,5.45,5.45,5.47
1.0,5.43,5.43,5.45
1.0,5.42,5.42,5.43
1.0,5.4,5.4,5.42
1.0,5.38,5.38,5.4
1.0,5.36,5.36,5.38
1.0,5.35,5.35,5.36
1.0,5.33,5.33,5.35
1.0,5.31,5.31,5.33
1.0,5.29,5.29,5.31
1.0,5.28,5.28,5.29
1.0,5.26,5.26,5.28
1.0,5.24,5.24,5.26
1.0,5.22,5.22,5.24
1.0,5.21,5.21,5.22
1.0,5.19,5.19,5.21
1.0,5.17,5.17,5.19
1.0,5.15,5.15,5.17
1.0,5.14,5.14,5.15
1.0,5.12,5.12,5.14
1.0,5.1,5.1,5.12
1.0,5.08,5.08,5.1
1.0,5.07,5.07,5.08
1.0,5.05,5.05,5.07
1.0,5.03,5.03,5.05
1.0,5.02,5.02,5.03
1.0,5.0,5.0,5.02
1.0,4.98,4.98,5.0
1.0,4.96,4.96,4.98
1.0,4.95,4.95,4.96
1.0,4.93,4.93,4.95
1.0,4.91,4.91,4.93
1.0,4.9,4.9,4.91
1.0,4.88,4.88,4.9
1.0,4.86,4.86,4.88
1.0,4.85,4.85,4.86
1.0,4.83,4.83,4.85
1.0,4.81,4.81,4.83
1.0,4.8,4.8,4.81
1.0,4.78,4.78,4.8
1.0,4.76,4.76,4.78
1.0,4.75,4.75,4.76
1.0,4.73,4.73,4.75
1.0,4.71,4.71,4.73
1.0,4.7,4.7,4.71
1.0,4.68,4.68,4.7
1.0,4.66,4.66,4.68
1.0,4.65,4.65,4.66
1.0,4.63,4.63,4.65
1.0,4.61,4.61,4.63
1.0,4.6,4.6,4.61
1.0,4.58,4.58,4.6
1.0,4.57,4.57,4.58
1.0,4.55,4.55,4.57
1.0,4.53,4.53,4.55
1.0,4.52,4.52,4.53
1.0,4.5,4.5,4.52
1.0,4.49,4.49,4.5
1.0,4.47,4.47,4.49
1.0,4.45,4.45,4.47
1.0,4.44,4.44,4.45
1.0,4.42,4.42,4.44
1.0,4.41,4.41,4.42
1.0,4.39,4.39,4.41
1.0,4.37,4.37,4.39
1.0,4.36,4.36,4.37
1.0,4.34,4.34,4.36
1.0,4.33,4.33,4.34
1.0,4.31,4.31,4.33
1.0,4.3,4.3,4.31
1.0,4.28,4.28,4.3
1.0,4.27,4.27,4.28
1.0,4.25,4.25,4.27
1.0,4.24,4.24,4.25
1.0,4.22,4.22,4.24
1.0,4.2,4.2,4.22
1.0,4.19,4.19,4.2
1.0,4.17,4.17,4.19
1.0,4.16,4.16,4.17
1.0,4.14,4.14,4.16
1.0,4.13,4.13,4.14
1.0,4.12,4.12,4.13
1.0,4.1,4.1,4.12
1.0,4.09,4.09,4.1
1.0,4.07,4.07,4.09
1.0,4.06,4.06,4.07
1.0,4.04,4.04,4.06
1.0,4.03,4.03,4.04
1.0,4.01,4.01,4.03
1.0,4.0,4.0,4.01
1.0,3.98,3.98,4.0
1.0,3.97,3.97,3.98
1.0,3.96,3.96,3.97
1.0,3.94,3.94,3.96
1.0,3.93,3.93,3.94
1.0,3.91,3.91,3.93
1.0,3.9,3.9,3.91
1.0,3.88,3.88,3.9
1.0,3.87,3.87,3.88
1.0,3.86,3.86,3.87
1.0,3.84,3.84,3.86
1.0,3.83,3.83,3.84
1.0,3.82,3.82,3.83
1.0,3.8,3.8,3.82
1.0,3.79,3.79,3.8
1.0,3.77,3.77,3.79
1.0,3.76,3.76,3.77
